accident_id,timestamp,lat,lng,nearest_cluster,road_type,speed_limit,lane_count,traffic_density,weather,time_of_day,hour,day_of_week,is_weekend,month,nearby_defect_count_500m,defect_severity_index,risk_score,accident_severity_code,is_high_risk
ACC-PRG-21572,2025-06-23T19:32:00,25.427712,81.823444,Kareli Urban Zone,Dense Urban Street,30,2,Low,Monsoon Overcast,Evening Rush,19,0,0,6,11,10.0,0.2697,1,0
ACC-PRG-21573,2025-11-01T23:03:00,25.442265,81.855511,Rambagh Railway Station Area,Local Residential,30,2,Low,Clear,Late Night,23,5,1,11,26,10.0,0.2679,0,0
ACC-PRG-21574,2026-01-11T16:10:00,25.456757,81.74493,GT Road / Bamrauli Corridor,National Highway,65,6,Low,Rain,Evening Rush,16,6,1,1,4,9.0,0.5261,1,0
ACC-PRG-21575,2026-03-17T05:00:00,25.449676,81.827217,Civil Lines,Dense Urban Street,40,2,Low,Rain,Early Hours,5,1,0,3,29,10.0,0.304,0,0
ACC-PRG-21576,2026-02-18T08:26:00,25.438049,81.757201,Jhalwa / IIIT-A Corridor,State Highway,45,4,Moderate,Clear,Morning Rush,8,2,0,2,4,10.0,0.1979,0,0
ACC-PRG-21577,2025-08-02T03:33:00,25.440126,81.844902,Rambagh Railway Station Area,Local Residential,30,2,High,Monsoon Overcast,Early Hours,3,5,1,8,23,10.0,0.3349,0,0
ACC-PRG-21578,2026-06-03T13:02:00,25.436617,81.876132,Sangam / Daraganj,Local Residential,30,2,Low,Clear,Afternoon Off-Peak,13,2,0,6,12,10.0,0.1861,0,0
ACC-PRG-21579,2025-08-01T04:52:00,25.459311,81.852019,Georgetown,Local Residential,35,2,Moderate,Rain,Early Hours,4,4,0,8,18,10.0,0.2766,0,0
ACC-PRG-21580,2026-01-26T03:08:00,25.395775,81.950671,Phaphamau NH-19 Junction,Suburban Arterial,50,2,High,Clear,Early Hours,3,0,0,1,0,0.0,0.1512,0,0
ACC-PRG-21581,2025-10-23T17:59:00,25.38838,81.872585,Naini Industrial Area,State Highway,50,2,Low,Clear,Evening Rush,17,3,0,10,6,10.0,0.3398,0,0
ACC-PRG-21582,2025-06-17T04:58:00,25.52064,81.915049,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,6,Congested,Clear,Early Hours,4,1,0,6,0,0.0,0.2783,0,0
ACC-PRG-21583,2026-04-18T23:32:00,25.433123,81.899606,Shastri Bridge (Ganga),Bridge / Flyover,50,2,High,Clear,Late Night,23,5,1,4,5,10.0,0.3583,1,0
ACC-PRG-21584,2025-05-12T06:28:00,25.44229,81.83264,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Clear,Morning Rush,6,0,0,5,25,10.0,0.3217,0,0
ACC-PRG-21585,2026-06-19T01:24:00,25.449493,81.851792,Georgetown,Dense Urban Street,35,2,Moderate,Clear,Early Hours,1,4,0,6,28,10.0,0.2226,0,0
ACC-PRG-21586,2026-04-24T23:36:00,25.427971,81.769711,Jhalwa / IIIT-A Corridor,State Highway,45,4,Low,Clear,Late Night,23,4,0,4,14,10.0,0.3116,0,0
ACC-PRG-21587,2026-03-31T19:17:00,25.432896,81.83034,Prayagraj Junction (Civil Lines side),Local Residential,25,1,High,Clear,Evening Rush,19,1,0,3,9,10.0,0.302,0,0
ACC-PRG-21588,2025-06-07T06:25:00,25.364439,81.767929,Civil Lines,Major Arterial,60,2,Moderate,Monsoon Overcast,Morning Rush,6,5,1,6,0,0.0,0.1775,0,0
ACC-PRG-21589,2026-01-29T12:08:00,25.392792,81.850091,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Moderate,Clear,Afternoon Off-Peak,12,3,0,1,1,0.75,0.1728,0,0
ACC-PRG-21590,2026-06-03T13:17:00,25.423729,81.814361,Kareli Urban Zone,Local Residential,30,2,Moderate,Clear,Afternoon Off-Peak,13,2,0,6,7,10.0,0.2554,1,0
ACC-PRG-21591,2025-06-26T08:30:00,25.450296,81.85496,Rambagh Railway Station Area,Dense Urban Street,30,1,Low,Clear,Morning Rush,8,3,0,6,20,10.0,0.3291,0,0
ACC-PRG-21592,2026-03-01T16:54:00,25.416501,81.823801,Kareli Urban Zone,Dense Urban Street,30,2,Low,Clear,Evening Rush,16,6,1,3,14,10.0,0.2916,0,0
ACC-PRG-21593,2025-06-07T05:57:00,25.458627,81.857868,Katra / Allahabad Univ,Local Residential,30,2,Low,Clear,Early Hours,5,5,1,6,9,10.0,0.2251,0,0
ACC-PRG-21594,2026-04-29T09:00:00,25.457451,81.826879,Prayagraj Junction (Civil Lines side),Dense Urban Street,25,1,Moderate,Clear,Morning Rush,9,2,0,4,25,10.0,0.3107,1,0
ACC-PRG-21595,2025-08-27T10:52:00,25.460189,81.747222,GT Road / Bamrauli Corridor,National Highway,65,4,High,Rain,Afternoon Off-Peak,10,2,0,8,1,1.5,0.272,0,0
ACC-PRG-21596,2025-02-16T19:19:00,25.528114,81.870955,Phaphamau NH-19 Junction,National Highway,70,6,Low,Rain,Evening Rush,19,6,1,2,17,10.0,0.4927,1,0
ACC-PRG-21597,2025-02-16T22:21:00,25.442207,81.735401,GT Road / Bamrauli Corridor,National Highway,65,4,Low,Clear,Late Night,22,6,1,2,7,10.0,0.4058,0,0
ACC-PRG-21598,2025-08-06T08:42:00,25.454668,81.852902,Katra / Allahabad Univ,Local Residential,30,1,High,Rain,Morning Rush,8,2,0,8,16,10.0,0.4156,0,0
ACC-PRG-21599,2026-05-14T04:53:00,25.355412,81.780847,Rambagh Railway Station Area,National Highway,70,4,Moderate,Clear,Early Hours,4,3,0,5,0,0.0,0.1566,0,0
ACC-PRG-21600,2026-02-03T19:17:00,25.387329,81.855668,Naini Industrial Area,State Highway,50,4,Congested,Clear,Evening Rush,19,1,0,2,5,10.0,0.3656,0,0
ACC-PRG-21601,2026-01-22T22:31:00,25.430333,81.779094,Jhalwa / IIIT-A Corridor,Suburban Arterial,45,2,Moderate,Clear,Late Night,22,3,0,1,7,10.0,0.3163,0,0
ACC-PRG-21602,2025-01-20T10:37:00,25.520002,81.873249,Phaphamau NH-19 Junction,National Highway,70,4,Low,Dense Fog / Smog,Afternoon Off-Peak,10,0,0,1,15,10.0,0.422,1,0
ACC-PRG-21603,2025-09-14T08:09:00,25.44395,81.833696,Civil Lines,Dense Urban Street,40,1,Congested,Rain,Morning Rush,8,6,1,9,33,10.0,0.4074,0,0
ACC-PRG-21604,2025-05-24T10:33:00,25.448157,81.828088,Prayagraj Junction (Civil Lines side),Dense Urban Street,25,2,Low,Clear,Afternoon Off-Peak,10,5,1,5,33,10.0,0.3165,0,0
ACC-PRG-21605,2026-08-01T23:28:00,25.438981,81.829001,MG Marg Corridor,State Highway,45,4,Moderate,Rain,Late Night,23,5,1,8,8,10.0,0.3145,0,0
ACC-PRG-21606,2025-11-13T02:32:00,25.47391,81.981366,Jhalwa / IIIT-A Corridor,Local Residential,30,1,Moderate,Rain,Early Hours,2,3,0,11,0,0.0,0.2732,0,0
ACC-PRG-21607,2025-11-24T20:33:00,25.419704,81.852171,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,Low,Rain,Evening Rush,20,0,0,11,18,10.0,0.4261,0,0
ACC-PRG-21608,2025-08-14T05:57:00,25.525824,81.853298,Phaphamau NH-19 Junction,National Highway,70,6,High,Rain,Early Hours,5,3,0,8,6,10.0,0.556,1,0
ACC-PRG-21609,2026-03-07T15:18:00,25.463639,81.85647,Katra / Allahabad Univ,Dense Urban Street,30,1,High,Dense Fog / Smog,Afternoon Off-Peak,15,5,1,3,13,10.0,0.3722,0,0
ACC-PRG-21610,2025-07-06T18:13:00,25.457566,81.833916,Civil Lines,Dense Urban Street,40,2,Low,Rain,Evening Rush,18,6,1,7,21,10.0,0.3203,1,0
ACC-PRG-21611,2026-05-28T04:18:00,25.434196,81.8827,Sangam / Daraganj,Local Residential,30,2,High,Monsoon Overcast,Early Hours,4,3,0,5,26,10.0,0.2972,0,0
ACC-PRG-21612,2025-01-24T13:59:00,25.459933,81.742053,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Clear,Afternoon Off-Peak,13,4,0,1,7,10.0,0.3672,0,0
ACC-PRG-21613,2026-05-30T18:01:00,25.449243,81.848153,Rambagh Railway Station Area,Dense Urban Street,30,1,Moderate,Dust Storm,Evening Rush,18,5,1,5,27,10.0,0.3977,1,0
ACC-PRG-21614,2026-03-15T10:52:00,25.45467,81.832926,MG Marg Corridor,Suburban Arterial,45,4,Low,Clear,Afternoon Off-Peak,10,6,1,3,33,10.0,0.2603,1,0
ACC-PRG-21615,2026-04-03T18:20:00,25.460879,81.848308,Katra / Allahabad Univ,Dense Urban Street,30,2,Moderate,Rain,Evening Rush,18,4,0,4,24,10.0,0.4537,0,0
ACC-PRG-21616,2025-03-21T17:34:00,25.502149,81.848913,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,High,Clear,Evening Rush,17,4,0,3,7,10.0,0.4242,0,0
ACC-PRG-21617,2025-12-28T18:04:00,25.514993,81.922818,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Moderate,Clear,Evening Rush,18,6,1,12,3,6.75,0.4248,0,0
ACC-PRG-21618,2026-02-04T05:25:00,25.423497,81.937492,Prayagraj Junction (Civil Lines side),National Highway,80,4,Moderate,Rain,Early Hours,5,2,0,2,0,0.0,0.3395,0,0
ACC-PRG-21619,2026-06-22T00:55:00,25.497932,81.934857,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,High,Clear,Early Hours,0,0,0,6,5,10.0,0.4298,0,0
ACC-PRG-21620,2026-02-13T21:06:00,25.424239,81.85357,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,High,Clear,Late Night,21,4,0,2,20,10.0,0.346,0,0
ACC-PRG-21621,2026-07-14T03:09:00,25.433109,81.88571,Sangam / Daraganj,Local Residential,30,1,Moderate,Monsoon Overcast,Early Hours,3,1,0,7,20,10.0,0.3441,0,0
ACC-PRG-21622,2026-05-16T00:58:00,25.45988,81.827768,Civil Lines,Dense Urban Street,40,1,Low,Clear,Early Hours,0,5,1,5,19,10.0,0.2324,0,0
ACC-PRG-21623,2025-05-31T18:35:00,25.41142,81.852297,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Moderate,Clear,Evening Rush,18,5,1,5,4,10.0,0.3976,1,0
ACC-PRG-21624,2026-03-24T21:19:00,25.447756,81.846248,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Moderate,Clear,Late Night,21,1,0,3,30,10.0,0.3027,0,0
ACC-PRG-21625,2026-04-17T16:39:00,25.450418,81.740743,GT Road / Bamrauli Corridor,National Highway,65,4,Congested,Clear,Evening Rush,16,4,0,4,8,10.0,0.3719,0,0
ACC-PRG-21626,2025-01-14T15:28:00,25.427595,81.777895,Jhalwa / IIIT-A Corridor,Major Arterial,45,2,High,Clear,Afternoon Off-Peak,15,1,0,1,7,10.0,0.2678,0,0
ACC-PRG-21627,2025-12-04T10:40:00,25.506446,81.851524,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,Moderate,Clear,Afternoon Off-Peak,10,3,0,12,9,10.0,0.299,1,0
ACC-PRG-21628,2025-04-06T16:30:00,25.428517,81.778355,Jhalwa / IIIT-A Corridor,Suburban Arterial,45,2,Moderate,Clear,Evening Rush,16,6,1,4,9,10.0,0.245,0,0
ACC-PRG-21629,2025-11-15T11:32:00,25.457761,81.85601,Katra / Allahabad Univ,Dense Urban Street,30,1,Moderate,Clear,Afternoon Off-Peak,11,5,1,11,9,10.0,0.1657,0,0
ACC-PRG-21630,2025-04-15T04:59:00,25.365841,81.762959,Georgetown,Local Residential,30,1,Low,Clear,Early Hours,4,1,0,4,0,0.0,0.0947,0,0
ACC-PRG-21631,2026-02-07T17:38:00,25.511343,81.928876,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Moderate,Clear,Evening Rush,17,5,1,2,7,10.0,0.3783,0,0
ACC-PRG-21632,2026-07-05T01:55:00,25.512996,81.942062,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,High,Monsoon Overcast,Early Hours,1,6,1,7,0,0.0,0.3417,0,0
ACC-PRG-21633,2026-06-09T09:16:00,25.446541,81.85904,Katra / Allahabad Univ,Local Residential,30,2,Low,Clear,Morning Rush,9,1,0,6,22,10.0,0.2509,1,0
ACC-PRG-21634,2026-03-10T23:54:00,25.526086,81.862212,Phaphamau NH-19 Junction,National Highway,70,6,High,Clear,Late Night,23,1,0,3,21,10.0,0.3933,0,0
ACC-PRG-21635,2025-11-23T15:13:00,25.34601,81.788778,Curzon Bridge / Phaphamau,National Highway,70,4,High,Clear,Afternoon Off-Peak,15,6,1,11,0,0.0,0.1562,0,0
ACC-PRG-21636,2026-05-26T11:28:00,25.424859,81.77164,Jhalwa / IIIT-A Corridor,Major Arterial,45,2,High,Rain,Afternoon Off-Peak,11,1,0,5,11,10.0,0.3642,0,0
ACC-PRG-21637,2026-07-27T23:13:00,25.452973,81.824541,Prayagraj Junction (Civil Lines side),Dense Urban Street,25,1,Moderate,Dense Fog / Smog,Late Night,23,0,0,7,23,10.0,0.4054,0,0
ACC-PRG-21638,2025-08-21T07:11:00,25.451738,81.867159,Georgetown,Local Residential,35,2,Low,Rain,Morning Rush,7,3,0,8,10,10.0,0.3176,0,0
ACC-PRG-21639,2026-03-20T12:01:00,25.458453,81.856338,Katra / Allahabad Univ,Dense Urban Street,30,2,Moderate,Dense Fog / Smog,Afternoon Off-Peak,12,4,0,3,9,10.0,0.292,0,0
ACC-PRG-21640,2026-02-03T05:46:00,25.438145,81.853212,Rambagh Railway Station Area,Local Residential,30,2,High,Clear,Early Hours,5,1,0,2,17,10.0,0.3273,1,0
ACC-PRG-21641,2025-04-28T13:04:00,25.437608,81.849524,Rambagh Railway Station Area,Local Residential,30,1,Congested,Clear,Afternoon Off-Peak,13,0,0,4,19,10.0,0.2554,1,0
ACC-PRG-21642,2025-04-07T12:36:00,25.434924,81.879455,Sangam / Daraganj,Local Residential,30,1,Moderate,Clear,Afternoon Off-Peak,12,0,0,4,18,10.0,0.258,1,0
ACC-PRG-21643,2026-01-31T22:56:00,25.457468,81.85456,Katra / Allahabad Univ,Local Residential,30,1,High,Clear,Late Night,22,5,1,1,13,10.0,0.2667,1,0
ACC-PRG-21644,2025-05-12T18:51:00,25.449607,81.856233,Georgetown,Dense Urban Street,35,2,Moderate,Rain,Evening Rush,18,0,0,5,18,10.0,0.4097,0,0
ACC-PRG-21645,2025-06-05T13:54:00,25.432978,81.727555,Phaphamau NH-19 Junction,Dense Urban Street,30,2,High,Clear,Afternoon Off-Peak,13,3,0,6,0,0.0,0.1847,0,0
ACC-PRG-21646,2025-07-13T13:24:00,25.434445,81.887713,Shastri Bridge (Ganga),Bridge / Flyover,50,2,Moderate,Rain,Afternoon Off-Peak,13,6,1,7,21,10.0,0.4641,0,0
ACC-PRG-21647,2025-03-21T00:08:00,25.447847,81.742522,GT Road / Bamrauli Corridor,National Highway,65,6,Congested,Monsoon Overcast,Early Hours,0,4,0,3,11,10.0,0.4251,0,0
ACC-PRG-21648,2025-05-12T04:43:00,25.441996,81.832014,MG Marg Corridor,Major Arterial,45,4,High,Clear,Early Hours,4,0,0,5,22,10.0,0.2455,0,0
ACC-PRG-21649,2025-08-02T23:28:00,25.442798,81.81805,MG Marg Corridor,Suburban Arterial,45,2,High,Monsoon Overcast,Late Night,23,5,1,8,6,10.0,0.3665,0,0
ACC-PRG-21650,2026-04-09T19:04:00,25.466979,81.835935,Civil Lines,Local Residential,40,2,High,Clear,Evening Rush,19,3,0,4,1,1.5,0.1332,0,0
ACC-PRG-21651,2025-01-28T19:10:00,25.380501,81.861788,Naini Industrial Area,State Highway,50,2,Moderate,Clear,Evening Rush,19,1,0,1,6,10.0,0.3204,1,0
ACC-PRG-21652,2025-11-11T04:55:00,25.434021,81.775672,Jhalwa / IIIT-A Corridor,Major Arterial,45,2,Moderate,Rain,Early Hours,4,1,0,11,8,10.0,0.3024,0,0
ACC-PRG-21653,2025-03-10T18:37:00,25.423076,81.865688,Naini Old Bridge (Yamuna),Bridge / Flyover,35,4,High,Clear,Evening Rush,18,0,0,3,4,10.0,0.4427,0,0
ACC-PRG-21654,2025-06-11T20:11:00,25.440056,81.813686,Kareli Urban Zone,Local Residential,30,2,High,Clear,Evening Rush,20,2,0,6,3,10.0,0.4316,0,0
ACC-PRG-21655,2025-02-16T00:13:00,25.427521,81.875853,Sangam / Daraganj,Local Residential,30,1,Congested,Dense Fog / Smog,Early Hours,0,6,1,2,9,10.0,0.4135,0,0
ACC-PRG-21656,2025-08-02T08:49:00,25.415926,81.822793,Kareli Urban Zone,Local Residential,30,2,Moderate,Rain,Morning Rush,8,5,1,8,15,10.0,0.3152,0,0
ACC-PRG-21657,2025-11-04T15:48:00,25.523329,81.873999,Phaphamau NH-19 Junction,National Highway,70,4,Low,Clear,Afternoon Off-Peak,15,1,0,11,16,10.0,0.3327,1,0
ACC-PRG-21658,2025-03-27T11:43:00,25.460991,81.858327,Katra / Allahabad Univ,Dense Urban Street,30,1,Moderate,Clear,Afternoon Off-Peak,11,3,0,3,10,10.0,0.2858,0,0
ACC-PRG-21659,2026-04-23T18:52:00,25.498413,81.934092,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Low,Clear,Evening Rush,18,3,0,4,5,10.0,0.3818,0,0
ACC-PRG-21660,2025-11-26T09:15:00,25.446166,81.86642,Georgetown,Local Residential,35,2,Low,Clear,Morning Rush,9,2,0,11,13,10.0,0.1952,0,0
ACC-PRG-21661,2026-06-26T11:32:00,25.504911,81.844452,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,High,Clear,Afternoon Off-Peak,11,4,0,6,4,10.0,0.3046,0,0
ACC-PRG-21662,2025-07-31T18:05:00,25.534313,81.864156,Phaphamau NH-19 Junction,National Highway,70,4,Moderate,Rain,Evening Rush,18,3,0,7,5,10.0,0.4114,0,0
ACC-PRG-21663,2025-04-17T00:31:00,25.4466,81.729585,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Monsoon Overcast,Early Hours,0,3,0,4,6,10.0,0.344,0,0
ACC-PRG-21664,2025-11-24T13:19:00,25.494722,81.854783,Teliyarganj / MNNIT Area,Local Residential,40,1,Moderate,Clear,Afternoon Off-Peak,13,0,0,11,16,10.0,0.2935,0,0
ACC-PRG-21665,2026-03-15T18:42:00,25.452102,81.835499,Civil Lines,Dense Urban Street,40,2,Congested,Clear,Evening Rush,18,6,1,3,35,10.0,0.2798,0,0
ACC-PRG-21666,2025-02-04T01:11:00,25.51741,81.863482,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,Congested,Clear,Early Hours,1,1,0,2,9,10.0,0.3628,0,0
ACC-PRG-21667,2025-12-10T22:01:00,25.531953,81.799797,Kareli Urban Zone,National Highway,80,4,Low,Dense Fog / Smog,Late Night,22,2,0,12,0,0.0,0.2901,0,0
ACC-PRG-21668,2025-06-07T00:25:00,25.382635,81.865016,Naini Industrial Area,Major Arterial,50,2,Moderate,Clear,Early Hours,0,5,1,6,8,10.0,0.3231,0,0
ACC-PRG-21669,2026-02-16T13:57:00,25.414799,81.850176,Naini Old Bridge (Yamuna),Bridge / Flyover,35,2,Low,Clear,Afternoon Off-Peak,13,0,0,2,11,10.0,0.3227,1,0
ACC-PRG-21670,2025-11-24T07:55:00,25.469174,81.863198,Katra / Allahabad Univ,Dense Urban Street,30,1,High,Monsoon Overcast,Morning Rush,7,0,0,11,3,10.0,0.2583,0,0
ACC-PRG-21671,2025-01-29T03:42:00,25.501024,81.860773,Teliyarganj / MNNIT Area,Dense Urban Street,40,1,Low,Dense Fog / Smog,Early Hours,3,2,0,1,9,10.0,0.382,0,0
ACC-PRG-21672,2025-04-14T06:14:00,25.438656,81.859994,Georgetown,Local Residential,35,1,Moderate,Clear,Morning Rush,6,0,0,4,18,10.0,0.2635,1,0
ACC-PRG-21673,2025-06-12T07:46:00,25.374608,81.869258,Naini Industrial Area,State Highway,50,4,High,Clear,Morning Rush,7,3,0,6,5,10.0,0.4065,0,0
ACC-PRG-21674,2026-05-28T12:19:00,25.510777,81.867521,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,High,Monsoon Overcast,Afternoon Off-Peak,12,3,0,5,5,10.0,0.352,0,0
ACC-PRG-21675,2026-06-09T13:27:00,25.458547,81.81937,Civil Lines,Dense Urban Street,40,1,High,Clear,Afternoon Off-Peak,13,1,0,6,5,10.0,0.3379,0,0
ACC-PRG-21676,2026-04-10T20:42:00,25.438468,81.768008,Jhalwa / IIIT-A Corridor,Major Arterial,45,4,High,Clear,Evening Rush,20,4,0,4,5,10.0,0.2293,0,0
ACC-PRG-21677,2026-04-29T07:22:00,25.430016,81.759893,Jhalwa / IIIT-A Corridor,Major Arterial,45,4,High,Clear,Morning Rush,7,2,0,4,6,10.0,0.308,1,0
ACC-PRG-21678,2025-12-07T18:54:00,25.494881,81.85641,Teliyarganj / MNNIT Area,Local Residential,40,2,Congested,Clear,Evening Rush,18,6,1,12,17,10.0,0.3532,0,0
ACC-PRG-21679,2025-03-04T19:58:00,25.425894,81.968216,Phaphamau NH-19 Junction,National Highway,70,6,Low,Clear,Evening Rush,19,1,0,3,0,0.0,0.2097,0,0
ACC-PRG-21680,2026-01-14T07:15:00,25.429591,81.854845,Rambagh Railway Station Area,Local Residential,30,1,Moderate,Rain,Morning Rush,7,2,0,1,6,10.0,0.3672,0,0
ACC-PRG-21681,2026-03-21T23:20:00,25.31421,81.993548,Katra / Allahabad Univ,State Highway,60,2,Moderate,Clear,Late Night,23,5,1,3,0,0.0,0.1065,0,0
ACC-PRG-21682,2026-07-19T10:47:00,25.459464,81.754696,GT Road / Bamrauli Corridor,National Highway,65,6,Moderate,Clear,Afternoon Off-Peak,10,6,1,7,0,0.0,0.1964,0,0
ACC-PRG-21683,2025-06-04T09:06:00,25.507114,81.863639,Teliyarganj / MNNIT Area,Dense Urban Street,40,1,High,Clear,Morning Rush,9,2,0,6,10,10.0,0.2704,1,0
ACC-PRG-21684,2026-07-15T07:20:00,25.479043,81.825025,GT Road / Bamrauli Corridor,National Highway,80,6,Moderate,Rain,Morning Rush,7,2,0,7,0,0.0,0.2133,0,0
ACC-PRG-21685,2026-03-16T07:42:00,25.425147,81.816086,Kareli Urban Zone,Local Residential,30,1,Moderate,Clear,Morning Rush,7,0,0,3,5,10.0,0.2726,0,0
ACC-PRG-21686,2025-08-31T19:38:00,25.452212,81.85634,Georgetown,Dense Urban Street,35,2,Low,Monsoon Overcast,Evening Rush,19,6,1,8,18,10.0,0.2778,1,0
ACC-PRG-21687,2026-02-08T16:41:00,25.45493,81.839182,Prayagraj Junction (Civil Lines side),Local Residential,25,1,Low,Clear,Evening Rush,16,6,1,2,35,10.0,0.3218,0,0
ACC-PRG-21688,2026-01-24T01:30:00,25.507417,81.854426,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,Congested,Dense Fog / Smog,Early Hours,1,5,1,1,13,10.0,0.4516,0,0
ACC-PRG-21689,2026-07-22T22:01:00,25.452247,81.733085,GT Road / Bamrauli Corridor,National Highway,65,4,Moderate,Rain,Late Night,22,2,0,7,11,10.0,0.4799,0,0
ACC-PRG-21690,2025-05-06T09:25:00,25.512599,81.84599,Curzon Bridge / Phaphamau,Bridge / Flyover,50,4,High,Monsoon Overcast,Morning Rush,9,1,0,5,6,10.0,0.3494,0,0
ACC-PRG-21691,2025-10-12T04:47:00,25.435471,81.88949,Shastri Bridge (Ganga),Bridge / Flyover,50,2,Moderate,Clear,Early Hours,4,6,1,10,19,10.0,0.4006,0,0
ACC-PRG-21692,2025-07-30T06:38:00,25.429667,81.764115,Jhalwa / IIIT-A Corridor,Major Arterial,45,4,Low,Clear,Morning Rush,6,2,0,7,9,10.0,0.2814,0,0
ACC-PRG-21693,2025-03-23T21:07:00,25.457535,81.857273,Katra / Allahabad Univ,Local Residential,30,2,High,Clear,Late Night,21,6,1,3,10,10.0,0.3078,0,0
ACC-PRG-21694,2026-04-08T21:01:00,25.438465,81.87983,Sangam / Daraganj,Dense Urban Street,30,1,Moderate,Clear,Late Night,21,2,0,4,18,10.0,0.3706,0,0
ACC-PRG-21695,2026-02-03T03:10:00,25.455356,81.833048,MG Marg Corridor,Suburban Arterial,45,2,Low,Clear,Early Hours,3,1,0,2,31,10.0,0.3645,1,0
ACC-PRG-21696,2025-10-06T23:37:00,25.527289,81.859154,Phaphamau NH-19 Junction,National Highway,70,4,Low,Clear,Late Night,23,0,0,10,13,10.0,0.4371,0,0
ACC-PRG-21697,2026-03-06T15:42:00,25.474544,81.854769,Katra / Allahabad Univ,Local Residential,30,1,Moderate,Rain,Afternoon Off-Peak,15,4,0,3,1,3.0,0.2154,0,0
ACC-PRG-21698,2025-03-05T02:55:00,25.458793,81.860003,Katra / Allahabad Univ,Dense Urban Street,30,1,Low,Clear,Early Hours,2,2,0,3,11,10.0,0.3001,0,0
ACC-PRG-21699,2025-01-11T09:37:00,25.433993,81.880712,Sangam / Daraganj,Dense Urban Street,30,1,Low,Dense Fog / Smog,Morning Rush,9,5,1,1,24,10.0,0.4469,0,0
ACC-PRG-21700,2025-06-04T16:35:00,25.514488,81.817413,Shastri Bridge (Ganga),Bridge / Flyover,30,4,High,Monsoon Overcast,Evening Rush,16,2,0,6,0,0.0,0.2106,0,0
ACC-PRG-21701,2026-07-12T01:47:00,25.388017,81.864205,Naini Industrial Area,Suburban Arterial,50,2,Moderate,Monsoon Overcast,Early Hours,1,6,1,7,13,10.0,0.3649,0,0
ACC-PRG-21702,2025-12-04T09:35:00,25.509358,81.867414,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,Congested,Clear,Morning Rush,9,3,0,12,3,10.0,0.3291,0,0
ACC-PRG-21703,2025-03-04T22:30:00,25.506818,81.872847,Curzon Bridge / Phaphamau,Bridge / Flyover,50,2,Moderate,Clear,Late Night,22,1,0,3,3,10.0,0.3921,1,0
ACC-PRG-21704,2026-07-11T12:03:00,25.368304,81.861043,Naini Industrial Area,State Highway,50,2,High,Clear,Afternoon Off-Peak,12,5,1,7,3,10.0,0.2532,1,0
ACC-PRG-21705,2025-05-19T22:06:00,25.432845,81.82603,Rambagh Railway Station Area,Local Residential,30,1,Congested,Clear,Late Night,22,0,0,5,7,10.0,0.3189,0,0
ACC-PRG-21706,2025-01-05T05:59:00,25.502006,81.930419,NH-19 Bypass (Varanasi-Kanpur),National Highway,80,4,Moderate,Dense Fog / Smog,Early Hours,5,6,1,1,7,10.0,0.4075,0,0
ACC-PRG-21707,2025-11-21T04:58:00,25.346083,81.71945,NH-19 Bypass (Varanasi-Kanpur),Suburban Arterial,50,2,High,Clear,Early Hours,4,4,0,11,0,0.0,0.157,0,0
ACC-PRG-21708,2026-06-07T11:31:00,25.490663,81.828233,Curzon Bridge / Phaphamau,Bridge / Flyover,60,4,Low,Clear,Afternoon Off-Peak,11,6,1,6,0,0.0,0.183,0,0
ACC-PRG-21709,2025-03-23T01:58:00,25.435497,81.877714,Sangam / Daraganj,Local Residential,30,1,High,Clear,Early Hours,1,6,1,3,15,10.0,0.376,0,0
ACC-PRG-21710,2025-06-05T03:22:00,25.434129,81.849175,Georgetown,Dense Urban Street,35,1,High,Clear,Early Hours,3,3,0,6,14,10.0,0.2482,0,0
ACC-PRG-21711,2025-12-06T01:26:00,25.512283,81.962411,Sangam / Daraganj,Local Residential,40,1,Moderate,Dense Fog / Smog,Early Hours,1,5,1,12,0,0.0,0.3237,0,0
ACC-PRG-21712,2025-12-12T05:20:00,25.458584,81.853717,Katra / Allahabad Univ,Local Residential,30,2,High,Clear,Early Hours,5,4,0,12,17,10.0,0.2089,0,0
